Name,RA,DE,Redshift,Vlsr,DistMpc,SDSSu,SDSSg,SDSSr,SDSSi,Re,R50,Ellipticity,PA,Mstar
UGC11958,22.246354,13.840900,0.026180,7653.600954,109.011042,16.201570,14.418767,13.372014,13.697455,18.546861,36.482715,0.974964,37.269557,11.0877
UGC11982,22.314707,-1.058700,0.015903,4696.315198,66.303870,15.893409,14.965800,14.178940,14.494794,11.043423,12.820173,0.826589,12.016217,9.79149
UGC12054,22.492346,7.726000,0.006922,2062.269554,29.769730,15.696236,14.889167,14.255839,14.461544,15.879142,16.276904,0.973020,44.315439,8.89023
UGC12224,22.877327,6.093600,0.011643,3452.845899,49.128256,15.774833,14.717476,13.962559,14.211122,27.262314,30.308717,0.681794,10.624097,9.70573
UGC12250,22.926648,12.790320,0.024046,7044.437006,100.164688,15.931352,14.410371,13.476116,13.766983,14.943141,23.012174,0.658648,8.566757,10.8382
UGC12274,22.972113,26.061900,0.025382,7426.166960,106.406835,15.841979,14.303995,13.299156,13.624872,15.184573,23.724637,0.838693,-41.791592,11.0224
UGC12308,23.021861,14.339600,0.007568,2253.391590,32.763743,15.602013,14.972320,14.513526,14.688745,19.382758,20.205812,0.935402,26.877017,8.74853
UGC12348,23.088566,0.189500,0.025211,7377.224994,103.922604,15.520005,14.196976,13.257497,13.575670,20.268169,35.586956,0.972015,44.483803,10.8307
UGC12494,23.314599,6.876900,0.016221,4788.759688,67.869614,16.563459,15.341028,14.387963,14.743346,17.037906,14.686680,0.885805,30.687010,10.0873
UGC12518,23.336873,7.932200,0.012872,3812.577812,54.188065,16.339764,14.893173,13.726704,14.108004,14.213229,15.715631,0.953713,24.561315,10.2601
UGC12519,23.334101,15.952800,0.014705,4347.573951,62.279704,15.612358,14.524908,13.715864,13.983092,18.687304,20.205812,0.985540,-22.330293,10.0059
UGC12633,23.503792,15.761000,0.014163,4189.605510,59.993249,15.702952,14.470657,13.373519,13.723725,14.873083,18.521994,0.862621,-2.163169,10.3849
UGC12688,23.590580,7.322100,0.017560,5177.039881,73.288463,15.603761,14.719160,13.998856,14.239074,16.284143,15.816425,0.947608,-8.476193,9.97413
UGC12810,23.851739,1.056700,0.027155,7931.042013,111.558308,15.501712,14.536034,13.799177,14.066323,19.020048,21.181155,0.956306,44.553915,10.5211
UGC12816,23.864081,3.082800,0.017728,5225.794261,73.595889,15.295373,14.672304,14.221085,14.410131,17.265164,19.644539,0.743510,-41.172047,9.66301
VV488NED02,22.947467,-8.967500,0.016465,4859.613376,67.860649,15.949709,14.750952,13.735567,14.103041,14.884361,21.738554,0.989778,-20.545405,10.2414
